species_name,Block!,Column!,Row!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,Photo,Cond,Photo_D,Cond_D,area_mm2,SLA_cm_g:4,%N:1,date,date2
Oreomyrrhis eriopoda,3,15,c,3,LoElev,LoWat,1,oe3LoElev1,13,2,15,NA,NA,NA,NA,1455,94.4192,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,4,c,3,LoElev,LoWat,2,oe3LoElev2,2,14,16,NA,NA,NA,NA,342.2,85.9799,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,8,f,3,LoElev,HiWat,3,oe3LoElev3,31,22,53,NA,NA,NA,NA,1301,99.6172,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,5,f,3,LoElev,LoWat,4,oe3LoElev4,9,13,22,NA,NA,NA,NA,246,94.6154,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,8,f,3,LoElev,HiWat,5,oe3LoElev5,20,14,34,NA,NA,NA,NA,609,67.3673,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,1,d,3,LoElev,HiWat,6,oe3LoElev6,91,40,131,NA,NA,NA,NA,717,95.8556,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,12,d,3,LoElev,HiWat,7,oe3LoElev7,30,13,43,NA,NA,NA,NA,1222,88.1038,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,14,f,3,LoElev,LoWat,8,oe3LoElev8,8,7,15,NA,NA,NA,NA,1552,70.4814,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,2,d,3,LoElev,LoWat,9,oe3LoElev9,2,10,12,NA,NA,NA,NA,602,83.0345,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,5,b,3,LoElev,HiWat,10,oe3LoElev10,15,12,27,NA,NA,NA,NA,430,96.8468,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,4,h,3,LoElev,LoWat,11,oe3LoElev11,21,7,28,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,11,e,3,LoElev,HiWat,12,oe3LoElev12,8,28,36,NA,NA,NA,NA,NA,NA,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,13,h,4,LoElev,LoWat,1,oe4LoElev1,8,NA,8,2.684690127,0.029779478,1.631665596,0.03893024,2946,103.2959,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,6,f,4,LoElev,HiWat,2,oe4LoElev2,11,10,21,22.98815801,1.24951462,8.654873197,0.290822921,246,13.1903,1.4,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,8,c,4,LoElev,LoWat,3,oe4LoElev3,3,4,7,7.345269182,0.113378083,3.780802771,0.081795493,2944.508,119.2591,1.4,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,7,g,4,LoElev,LoWat,4,oe4LoElev4,18,15,33,20.46952861,0.422026932,3.397605295,0.030012249,NA,NA,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,14,d,4,LoElev,LoWat,5,oe4LoElev5,5,10,15,6.678455221,0.133576794,1.365876101,0.013084313,3029,132.2707,1,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,8,g,4,LoElev,LoWat,6,oe4LoElev6,14,7,21,3.525833699,0.065542278,1.452826427,0.020262359,NA,NA,2.6,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,2,h,4,LoElev,HiWat,7,oe4LoElev7,7,11,18,17.15740432,0.782942549,11.62232783,0.498335366,2963,143.9747,1.2,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,12,b,4,LoElev,HiWat,8,oe4LoElev8,11,6,17,8.894636712,0.149829956,5.290244808,0.094675601,2895,102.9516,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,1,c,4,LoElev,LoWat,9,oe4LoElev9,0,19,19,5.705305784,0.179460136,9.930849832,0.16798474,NA,NA,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,14,b,4,LoElev,HiWat,10,oe4LoElev10,8,10,18,11.22696398,0.224259541,NA,NA,2728,87.83,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,11,a,4,LoElev,LoWat,11,oe4LoElev11,31,7,38,NA,NA,NA,NA,844,80.6113,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,6,g,4,LoElev,HiWat,12,oe4LoElev12,NA,16,16,5.80824029,0.168608411,9.449758428,0.098995547,NA,NA,1,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,7,f,4,LoElev,HiWat,x1,oe4LoElevx1,12,15,27,1.982877238,0.04884235,2.429899109,0.024997884,1931.5,88.723,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,6,a,5,LoElev,HiWat,10,oe5LoElev10,21,8,29,7.399514866,0.153870067,NA,NA,2310,106.0119,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,6,g,5,LoElev,HiWat,1,oe5LoElev1,31,12,43,5.768433808,0.177848792,4.477723565,0.087404846,2649,104.8279,1.9,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,9,f,5,LoElev,LoWat,2,oe5LoElev2,12,8,20,6.146543474,0.095110977,7.071537996,0.127084154,970,85.0877,1.6,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,2,9,c,5,LoElev,HiWat,3,oe5LoElev3,0,8,8,1.69049861,0.022796364,1.580717637,0.027607635,3201,122.3624,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,3,3,b,5,LoElev,HiWat,4,oe5LoElev4,46,23,69,NA,NA,NA,NA,1433,117.0752,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,13,f,5,LoElev,LoWat,5,oe5LoElev5,11,5,16,3.816915789,0.035123592,3.307304272,0.055461599,NA,NA,NA,26-Nov-11,16-Dec-11
Oreomyrrhis eriopoda,1,8,b,5,LoElev,LoWat,6,oe5LoElev6,6,5,11,NA,NA,10.02657443,0.169024496,3291,115.2311,NA,26-Nov-11,16-Dec-11
